rank, build, set, map, avg_entry, file, check, merge, total
0, 1372ms, 77074, 751436, 9.749539, 437530B, 419ms, 33ms, 1825ms
1, 1315ms, 82470, 751808, 9.116139, 437544B, 476ms, 0ms, 1791ms
2, 1463ms, 76698, 770571, 10.046820, 437538B, 423ms, 0ms, 1887ms
3, 1467ms, 72764, 784664, 10.783684, 437510B, 419ms, 0ms, 1887ms
4, 848ms, 73122, 788872, 10.788436, 437571B, 394ms, 0ms, 1242ms
5, 930ms, 84986, 748642, 8.809004, 437535B, 312ms, 21ms, 1264ms
6, 1357ms, 75416, 780144, 10.344542, 437544B, 407ms, 21ms, 1787ms
7, 1363ms, 85788, 754776, 8.798154, 437529B, 401ms, 21ms, 1787ms
8, 1388ms, 77328, 769881, 9.956044, 437538B, 434ms, 0ms, 1823ms
9, 1394ms, 75430, 789212, 10.462840, 437549B, 429ms, 13ms, 1836ms
10, 1600ms, 76350, 783745, 10.265160, 437524B, 395ms, 25ms, 2022ms
11, 1599ms, 71350, 797095, 11.171619, 437553B, 396ms, 22ms, 2018ms
12, 1582ms, 81194, 763222, 9.399980, 437541B, 385ms, 0ms, 1968ms
13, 1607ms, 82602, 756825, 9.162308, 437536B, 360ms, 23ms, 1992ms
14, 1573ms, 71930, 787302, 10.945391, 437515B, 432ms, 0ms, 2007ms
15, 1583ms, 85968, 760235, 8.843232, 437578B, 423ms, 0ms, 2007ms
