rank, build, set, map, avg_entry, file, check, merge, total
0, 748ms, 1185, 8329, 7.028692, 4976B, 246ms, 40ms, 1035ms
1, 748ms, 1318, 8050, 6.107739, 4985B, 246ms, 0ms, 995ms
2, 963ms, 1188, 8436, 7.101010, 4978B, 246ms, 0ms, 1209ms
3, 959ms, 1132, 8711, 7.695230, 4984B, 246ms, 0ms, 1206ms
4, 824ms, 1184, 8681, 7.331926, 4979B, 246ms, 0ms, 1070ms
5, 841ms, 1234, 8502, 6.889789, 4979B, 246ms, 18ms, 1106ms
6, 889ms, 1356, 8286, 6.110619, 4976B, 246ms, 7ms, 1143ms
7, 890ms, 1166, 8773, 7.524014, 4989B, 246ms, 13ms, 1151ms
8, 711ms, 1388, 8043, 5.794669, 4980B, 246ms, 0ms, 959ms
9, 712ms, 1296, 8422, 6.498457, 4980B, 246ms, 11ms, 970ms
10, 844ms, 1226, 8384, 6.838499, 4983B, 246ms, 13ms, 1104ms
11, 844ms, 1156, 8692, 7.519031, 4976B, 246ms, 13ms, 1105ms
12, 374ms, 1270, 8445, 6.649606, 4983B, 246ms, 0ms, 622ms
13, 374ms, 1272, 8232, 6.471698, 4985B, 246ms, 16ms, 637ms
14, 894ms, 1266, 8256, 6.521327, 4974B, 246ms, 0ms, 1141ms
15, 894ms, 1352, 8435, 6.238905, 4999B, 247ms, 0ms, 1141ms
