rank, build, set, map, avg_entry, file, check, merge, total
0, 755ms, 5118, 38120, 7.448222, 26892B, 402ms, 50ms, 1208ms
1, 717ms, 6230, 43427, 6.970626, 26891B, 399ms, 0ms, 1116ms
2, 719ms, 6556, 42441, 6.473612, 26887B, 395ms, 0ms, 1115ms
3, 717ms, 6466, 42239, 6.532478, 26897B, 399ms, 0ms, 1116ms
4, 697ms, 6346, 42983, 6.773243, 26891B, 400ms, 0ms, 1098ms
5, 698ms, 5878, 44131, 7.507826, 26893B, 399ms, 19ms, 1118ms
6, 697ms, 5498, 45235, 8.227537, 26892B, 400ms, 31ms, 1129ms
7, 699ms, 6074, 44662, 7.352980, 26892B, 399ms, 13ms, 1112ms
8, 765ms, 6144, 44086, 7.175456, 26893B, 400ms, 0ms, 1166ms
9, 766ms, 6112, 45102, 7.379254, 26883B, 399ms, 35ms, 1201ms
10, 766ms, 6280, 43535, 6.932325, 26900B, 399ms, 39ms, 1205ms
11, 768ms, 6456, 43585, 6.751084, 26889B, 397ms, 31ms, 1197ms
12, 618ms, 6560, 42207, 6.433994, 26892B, 398ms, 0ms, 1017ms
13, 629ms, 6312, 43719, 6.926331, 26896B, 398ms, 23ms, 1051ms
14, 619ms, 5212, 47241, 9.063891, 26886B, 398ms, 31ms, 1048ms
15, 616ms, 7388, 40093, 5.426773, 26895B, 401ms, 31ms, 1048ms
16, 459ms, 6814, 41569, 6.100528, 26890B, 401ms, 0ms, 861ms
17, 460ms, 6382, 42443, 6.650423, 26894B, 399ms, 41ms, 901ms
18, 460ms, 6058, 43876, 7.242654, 26886B, 399ms, 21ms, 882ms
19, 461ms, 6420, 44164, 6.879128, 26900B, 399ms, 37ms, 898ms
20, 756ms, 6126, 44817, 7.315867, 26890B, 399ms, 0ms, 1156ms
21, 756ms, 6194, 43785, 7.068938, 26891B, 400ms, 33ms, 1190ms
22, 756ms, 5714, 46005, 8.051278, 26892B, 399ms, 17ms, 1174ms
23, 756ms, 5838, 44914, 7.693388, 26887B, 400ms, 15ms, 1172ms
24, 332ms, 6566, 42594, 6.487055, 26897B, 396ms, 0ms, 728ms
25, 466ms, 6328, 43070, 6.806258, 26892B, 395ms, 47ms, 909ms
26, 465ms, 6440, 42608, 6.616149, 26891B, 396ms, 45ms, 907ms
27, 332ms, 5826, 44480, 7.634741, 26893B, 397ms, 43ms, 772ms
28, 752ms, 6560, 42775, 6.520579, 26891B, 396ms, 0ms, 1149ms
29, 753ms, 5778, 45715, 7.911907, 26889B, 395ms, 0ms, 1148ms
30, 752ms, 6158, 45637, 7.411010, 26895B, 396ms, 0ms, 1149ms
31, 751ms, 6858, 42139, 6.144503, 26924B, 397ms, 0ms, 1149ms
