rank, build, set, map, avg_entry, file, check, merge, total
0, 793ms, 77074, 751436, 9.749539, 437530B, 285ms, 20ms, 1099ms
1, 712ms, 82470, 751808, 9.116139, 437544B, 365ms, 0ms, 1078ms
2, 1191ms, 76698, 770571, 10.046820, 437538B, 280ms, 0ms, 1472ms
3, 1154ms, 72764, 784664, 10.783684, 437510B, 315ms, 0ms, 1470ms
4, 1052ms, 73122, 788872, 10.788436, 437571B, 247ms, 0ms, 1300ms
5, 1128ms, 84986, 748642, 8.809004, 437535B, 172ms, 11ms, 1312ms
6, 1212ms, 75416, 780144, 10.344542, 437544B, 265ms, 15ms, 1493ms
7, 1197ms, 85788, 754776, 8.798154, 437529B, 280ms, 15ms, 1493ms
8, 1040ms, 77328, 769881, 9.956044, 437538B, 303ms, 0ms, 1344ms
9, 1042ms, 75430, 789212, 10.462840, 437549B, 301ms, 7ms, 1351ms
10, 1084ms, 76350, 783745, 10.265160, 437524B, 274ms, 16ms, 1374ms
11, 1084ms, 71350, 797095, 11.171619, 437553B, 274ms, 15ms, 1374ms
12, 915ms, 81194, 763222, 9.399980, 437541B, 241ms, 0ms, 1157ms
13, 970ms, 82602, 756825, 9.162308, 437536B, 187ms, 0ms, 1157ms
14, 1101ms, 71930, 787302, 10.945391, 437515B, 297ms, 0ms, 1399ms
15, 1115ms, 85968, 760235, 8.843232, 437578B, 284ms, 0ms, 1399ms
