rank, build, set, map, avg_entry, file, check, merge, total
0, 628ms, 11330, 80560, 7.110327, 53783B, 168ms, 28ms, 825ms
1, 625ms, 13022, 83296, 6.396560, 53784B, 170ms, 0ms, 796ms
2, 643ms, 12224, 86292, 7.059228, 53784B, 160ms, 0ms, 804ms
3, 638ms, 11572, 89625, 7.744988, 53784B, 162ms, 0ms, 801ms
4, 546ms, 12258, 89106, 7.269212, 53788B, 155ms, 0ms, 702ms
5, 560ms, 12736, 86105, 6.760757, 53783B, 148ms, 24ms, 733ms
6, 599ms, 12870, 85003, 6.604740, 53782B, 164ms, 22ms, 785ms
7, 608ms, 12602, 87130, 6.913982, 53790B, 155ms, 22ms, 786ms
8, 399ms, 13196, 83682, 6.341467, 53787B, 169ms, 0ms, 569ms
9, 406ms, 12478, 87447, 7.008094, 53781B, 162ms, 13ms, 582ms
10, 561ms, 12322, 87768, 7.122870, 53788B, 154ms, 22ms, 738ms
11, 561ms, 11552, 90723, 7.853445, 53786B, 155ms, 21ms, 738ms
12, 418ms, 12892, 85012, 6.594167, 53778B, 156ms, 0ms, 574ms
13, 429ms, 12268, 86055, 7.014591, 53787B, 145ms, 0ms, 574ms
14, 602ms, 12336, 87474, 7.090953, 53780B, 158ms, 0ms, 761ms
15, 603ms, 13014, 87204, 6.700784, 53806B, 157ms, 0ms, 761ms
