rank, build, set, map, avg_entry, file, check, merge, total
0, 1028ms, 38544, 364368, 9.453300, 218768B, 490ms, 43ms, 1562ms
1, 1019ms, 38584, 391234, 10.139799, 218762B, 498ms, 0ms, 1518ms
2, 1087ms, 40912, 381253, 9.318855, 218769B, 431ms, 0ms, 1518ms
3, 1016ms, 41558, 374989, 9.023269, 218775B, 500ms, 0ms, 1517ms
4, 1044ms, 38578, 385757, 9.999404, 218764B, 455ms, 0ms, 1500ms
5, 1022ms, 38120, 387922, 10.176338, 218774B, 477ms, 39ms, 1539ms
6, 1040ms, 37906, 388824, 10.257585, 218763B, 459ms, 39ms, 1539ms
7, 1033ms, 34858, 396926, 11.386941, 218747B, 466ms, 39ms, 1539ms
8, 1086ms, 33508, 398512, 11.893040, 218788B, 449ms, 0ms, 1535ms
9, 1131ms, 39612, 391251, 9.877083, 218773B, 415ms, 39ms, 1585ms
10, 1116ms, 42126, 377277, 8.955918, 218770B, 420ms, 39ms, 1576ms
11, 1124ms, 42862, 373028, 8.703000, 218775B, 422ms, 39ms, 1586ms
12, 1042ms, 40808, 380407, 9.321873, 218765B, 461ms, 0ms, 1505ms
13, 1073ms, 34606, 400339, 11.568485, 218769B, 453ms, 39ms, 1566ms
14, 1047ms, 42474, 378712, 8.916325, 218769B, 457ms, 39ms, 1543ms
15, 1043ms, 43316, 378896, 8.747253, 218770B, 461ms, 11ms, 1516ms
16, 1068ms, 42800, 375347, 8.769790, 218765B, 482ms, 0ms, 1551ms
17, 1075ms, 34528, 397935, 11.524994, 218773B, 475ms, 11ms, 1562ms
18, 1067ms, 40174, 387704, 9.650620, 218771B, 483ms, 39ms, 1590ms
19, 1071ms, 35254, 402929, 11.429313, 218764B, 478ms, 11ms, 1562ms
20, 1091ms, 40296, 389839, 9.674385, 218769B, 443ms, 0ms, 1535ms
21, 1092ms, 36056, 395516, 10.969492, 218769B, 442ms, 39ms, 1574ms
22, 1094ms, 36620, 395982, 10.813271, 218772B, 441ms, 39ms, 1574ms
23, 1093ms, 34728, 402854, 11.600265, 218766B, 441ms, 39ms, 1574ms
24, 559ms, 37884, 391186, 10.325890, 218772B, 442ms, 0ms, 1002ms
25, 788ms, 43308, 375472, 8.669807, 218762B, 419ms, 39ms, 1246ms
26, 777ms, 42980, 373862, 8.698511, 218778B, 430ms, 39ms, 1246ms
27, 550ms, 39622, 387195, 9.772223, 218767B, 451ms, 39ms, 1041ms
28, 909ms, 36674, 393496, 10.729563, 218768B, 457ms, 0ms, 1367ms
29, 914ms, 35260, 396386, 11.241804, 218760B, 452ms, 0ms, 1366ms
30, 909ms, 40372, 389925, 9.658303, 218772B, 457ms, 0ms, 1367ms
31, 905ms, 45596, 371955, 8.157623, 218806B, 461ms, 0ms, 1367ms
