rank, build, set, map, avg_entry, file, check, merge, total
0, 818ms, 38544, 364368, 9.453300, 218768B, 527ms, 46ms, 1393ms
1, 726ms, 38584, 391234, 10.139799, 218762B, 565ms, 0ms, 1291ms
2, 886ms, 40912, 381253, 9.318855, 218769B, 459ms, 0ms, 1345ms
3, 725ms, 41558, 374989, 9.023269, 218775B, 566ms, 0ms, 1291ms
4, 780ms, 38578, 385757, 9.999404, 218764B, 528ms, 0ms, 1309ms
5, 781ms, 38120, 387922, 10.176338, 218774B, 528ms, 38ms, 1348ms
6, 776ms, 37906, 388824, 10.257585, 218763B, 532ms, 38ms, 1348ms
7, 793ms, 34858, 396926, 11.386941, 218747B, 516ms, 38ms, 1348ms
8, 900ms, 33508, 398512, 11.893040, 218788B, 503ms, 0ms, 1404ms
9, 927ms, 39612, 391251, 9.877083, 218773B, 475ms, 38ms, 1442ms
10, 927ms, 42126, 377277, 8.955918, 218770B, 475ms, 11ms, 1414ms
11, 925ms, 42862, 373028, 8.703000, 218775B, 478ms, 38ms, 1442ms
12, 840ms, 40808, 380407, 9.321873, 218765B, 512ms, 0ms, 1353ms
13, 884ms, 34606, 400339, 11.568485, 218769B, 505ms, 38ms, 1429ms
14, 845ms, 42474, 378712, 8.916325, 218769B, 507ms, 38ms, 1391ms
15, 842ms, 43316, 378896, 8.747253, 218770B, 510ms, 38ms, 1391ms
16, 836ms, 42800, 375347, 8.769790, 218765B, 511ms, 0ms, 1348ms
17, 842ms, 34528, 397935, 11.524994, 218773B, 505ms, 38ms, 1387ms
18, 835ms, 40174, 387704, 9.650620, 218771B, 512ms, 11ms, 1359ms
19, 839ms, 35254, 402929, 11.429313, 218764B, 508ms, 11ms, 1359ms
20, 870ms, 40296, 389839, 9.674385, 218769B, 508ms, 0ms, 1379ms
21, 872ms, 36056, 395516, 10.969492, 218769B, 506ms, 39ms, 1418ms
22, 873ms, 36620, 395982, 10.813271, 218772B, 506ms, 39ms, 1418ms
23, 872ms, 34728, 402854, 11.600265, 218766B, 506ms, 38ms, 1418ms
24, 565ms, 37884, 391186, 10.325890, 218772B, 501ms, 0ms, 1067ms
25, 684ms, 43308, 375472, 8.669807, 218762B, 473ms, 39ms, 1197ms
26, 586ms, 42980, 373862, 8.698511, 218778B, 480ms, 38ms, 1105ms
27, 657ms, 39622, 387195, 9.772223, 218767B, 501ms, 38ms, 1197ms
28, 747ms, 36674, 393496, 10.729563, 218768B, 530ms, 0ms, 1278ms
29, 755ms, 35260, 396386, 11.241804, 218760B, 523ms, 0ms, 1278ms
30, 749ms, 40372, 389925, 9.658303, 218772B, 529ms, 0ms, 1278ms
31, 745ms, 45596, 371955, 8.157623, 218806B, 532ms, 0ms, 1278ms
