rank, build, set, map, avg_entry, file, check, merge, total
0, 709ms, 277, 2063, 7.447653, 1239B, 301ms, 105ms, 1116ms
1, 708ms, 298, 2139, 7.177852, 1250B, 301ms, 0ms, 1010ms
2, 709ms, 312, 2126, 6.814103, 1245B, 301ms, 0ms, 1010ms
3, 708ms, 298, 2079, 6.976510, 1242B, 301ms, 0ms, 1009ms
4, 709ms, 282, 2138, 7.581560, 1245B, 301ms, 0ms, 1010ms
5, 708ms, 348, 1985, 5.704023, 1247B, 301ms, 0ms, 1009ms
6, 709ms, 350, 2005, 5.728571, 1239B, 301ms, 0ms, 1010ms
7, 709ms, 336, 2108, 6.273810, 1247B, 301ms, 0ms, 1010ms
8, 787ms, 332, 2098, 6.319277, 1245B, 301ms, 0ms, 1089ms
9, 781ms, 294, 2145, 7.295918, 1249B, 301ms, 101ms, 1184ms
10, 783ms, 316, 2116, 6.696203, 1240B, 301ms, 101ms, 1186ms
11, 781ms, 248, 2176, 8.774194, 1251B, 301ms, 17ms, 1100ms
12, 783ms, 228, 2274, 9.973684, 1238B, 301ms, 0ms, 1085ms
13, 781ms, 252, 2202, 8.738095, 1244B, 301ms, 101ms, 1184ms
14, 787ms, 314, 2165, 6.894904, 1250B, 301ms, 101ms, 1190ms
15, 781ms, 336, 2105, 6.264881, 1244B, 301ms, 101ms, 1184ms
16, 677ms, 266, 2255, 8.477444, 1237B, 301ms, 0ms, 978ms
17, 685ms, 270, 2223, 8.233333, 1248B, 301ms, 101ms, 1088ms
18, 673ms, 352, 2077, 5.900568, 1250B, 301ms, 13ms, 988ms
19, 728ms, 296, 2172, 7.337838, 1242B, 301ms, 101ms, 1131ms
20, 677ms, 286, 2239, 7.828671, 1247B, 301ms, 101ms, 1080ms
21, 740ms, 274, 2259, 8.244526, 1251B, 301ms, 21ms, 1063ms
22, 728ms, 338, 2052, 6.071006, 1239B, 301ms, 101ms, 1131ms
23, 728ms, 336, 2038, 6.065476, 1244B, 301ms, 101ms, 1131ms
24, 729ms, 320, 2169, 6.778125, 1250B, 301ms, 101ms, 1132ms
25, 752ms, 342, 2101, 6.143275, 1244B, 301ms, 101ms, 1155ms
26, 729ms, 354, 2054, 5.802260, 1245B, 301ms, 101ms, 1131ms
27, 729ms, 342, 2093, 6.119883, 1245B, 301ms, 101ms, 1132ms
28, 729ms, 308, 2169, 7.042208, 1246B, 301ms, 101ms, 1132ms
29, 729ms, 262, 2231, 8.515267, 1239B, 301ms, 101ms, 1132ms
30, 729ms, 234, 2291, 9.790598, 1244B, 301ms, 101ms, 1132ms
31, 729ms, 360, 2103, 5.841667, 1252B, 301ms, 101ms, 1132ms
32, 519ms, 372, 2040, 5.483871, 1245B, 301ms, 0ms, 820ms
33, 518ms, 344, 2046, 5.947674, 1239B, 301ms, 19ms, 839ms
34, 519ms, 356, 2048, 5.752809, 1253B, 301ms, 101ms, 921ms
35, 518ms, 316, 2098, 6.639241, 1244B, 301ms, 101ms, 921ms
36, 518ms, 326, 2096, 6.429448, 1245B, 301ms, 101ms, 921ms
37, 519ms, 338, 2156, 6.378698, 1241B, 301ms, 101ms, 921ms
38, 518ms, 324, 2122, 6.549383, 1242B, 301ms, 101ms, 921ms
39, 518ms, 308, 2112, 6.857143, 1248B, 301ms, 15ms, 835ms
40, 832ms, 320, 2153, 6.728125, 1247B, 301ms, 101ms, 1235ms
41, 832ms, 296, 2144, 7.243243, 1242B, 301ms, 101ms, 1235ms
42, 832ms, 340, 2040, 6.000000, 1249B, 301ms, 101ms, 1235ms
43, 832ms, 270, 2226, 8.244444, 1247B, 301ms, 101ms, 1235ms
44, 832ms, 268, 2198, 8.201493, 1243B, 301ms, 101ms, 1235ms
45, 832ms, 280, 2233, 7.975000, 1244B, 301ms, 101ms, 1235ms
46, 832ms, 338, 2054, 6.076923, 1237B, 301ms, 101ms, 1235ms
47, 832ms, 270, 2251, 8.337037, 1254B, 301ms, 101ms, 1235ms
48, 670ms, 258, 2273, 8.810078, 1245B, 301ms, 0ms, 971ms
49, 775ms, 336, 2080, 6.190476, 1241B, 301ms, 101ms, 1178ms
50, 659ms, 354, 2075, 5.861582, 1250B, 301ms, 101ms, 1062ms
51, 660ms, 322, 2079, 6.456522, 1245B, 301ms, 101ms, 1063ms
52, 776ms, 336, 2024, 6.023810, 1237B, 301ms, 0ms, 1077ms
53, 666ms, 334, 2121, 6.350299, 1244B, 301ms, 101ms, 1069ms
54, 777ms, 320, 2110, 6.593750, 1252B, 301ms, 101ms, 1180ms
55, 777ms, 280, 2156, 7.700000, 1240B, 301ms, 101ms, 1179ms
56, 768ms, 292, 2150, 7.363014, 1249B, 301ms, 0ms, 1070ms
57, 768ms, 330, 2040, 6.181818, 1246B, 301ms, 101ms, 1171ms
58, 768ms, 352, 2014, 5.721591, 1245B, 301ms, 101ms, 1171ms
59, 768ms, 294, 2171, 7.384354, 1246B, 301ms, 101ms, 1171ms
60, 768ms, 300, 2234, 7.446667, 1241B, 301ms, 0ms, 1070ms
61, 768ms, 334, 2182, 6.532934, 1249B, 301ms, 0ms, 1070ms
62, 768ms, 348, 2029, 5.830460, 1245B, 301ms, 0ms, 1070ms
63, 768ms, 372, 2092, 5.623656, 1273B, 301ms, 0ms, 1070ms
