rank, build, set, map, avg_entry, file, check, merge, total
0, 708ms, 1994, 16064, 8.056169, 13445B, 380ms, 98ms, 1186ms
1, 695ms, 3128, 22288, 7.125320, 13447B, 378ms, 0ms, 1074ms
2, 711ms, 3132, 21950, 7.008301, 13446B, 376ms, 0ms, 1087ms
3, 696ms, 3098, 21869, 7.059070, 13445B, 378ms, 0ms, 1074ms
4, 710ms, 3238, 21971, 6.785361, 13447B, 377ms, 0ms, 1088ms
5, 696ms, 3318, 20967, 6.319168, 13440B, 377ms, 0ms, 1073ms
6, 710ms, 3194, 21981, 6.881966, 13447B, 377ms, 0ms, 1088ms
7, 710ms, 3272, 21034, 6.428484, 13450B, 378ms, 0ms, 1088ms
8, 666ms, 3286, 21314, 6.486306, 13444B, 378ms, 0ms, 1045ms
9, 667ms, 3060, 22120, 7.228758, 13447B, 377ms, 25ms, 1070ms
10, 667ms, 3000, 22214, 7.404667, 13446B, 377ms, 25ms, 1070ms
11, 667ms, 2878, 22249, 7.730716, 13447B, 377ms, 90ms, 1136ms
12, 666ms, 2460, 23626, 9.604065, 13442B, 377ms, 0ms, 1045ms
13, 667ms, 3038, 21827, 7.184661, 13450B, 377ms, 90ms, 1135ms
14, 667ms, 3244, 21865, 6.740136, 13443B, 378ms, 90ms, 1135ms
15, 667ms, 2830, 23115, 8.167845, 13449B, 377ms, 90ms, 1135ms
16, 419ms, 2688, 23484, 8.736607, 13444B, 377ms, 0ms, 797ms
17, 431ms, 3456, 20940, 6.059028, 13449B, 377ms, 90ms, 900ms
18, 517ms, 3130, 22337, 7.136422, 13442B, 377ms, 90ms, 985ms
19, 517ms, 2982, 23135, 7.758216, 13441B, 377ms, 90ms, 985ms
20, 419ms, 3004, 22640, 7.536618, 13452B, 378ms, 90ms, 887ms
21, 517ms, 3276, 21382, 6.526862, 13448B, 377ms, 90ms, 985ms
22, 517ms, 3148, 22095, 7.018742, 13442B, 377ms, 90ms, 985ms
23, 436ms, 3308, 21782, 6.584643, 13447B, 377ms, 90ms, 904ms
24, 605ms, 3286, 21089, 6.417833, 13445B, 377ms, 90ms, 1073ms
25, 651ms, 3274, 21216, 6.480147, 13447B, 378ms, 90ms, 1120ms
26, 605ms, 3220, 21723, 6.746273, 13449B, 377ms, 90ms, 1073ms
27, 605ms, 3092, 22444, 7.258732, 13447B, 377ms, 90ms, 1073ms
28, 605ms, 2540, 24058, 9.471654, 13439B, 377ms, 90ms, 1073ms
29, 605ms, 2672, 23375, 8.748129, 13447B, 377ms, 90ms, 1073ms
30, 604ms, 3754, 19854, 5.288759, 13448B, 378ms, 90ms, 1073ms
31, 605ms, 3634, 20862, 5.740782, 13447B, 377ms, 25ms, 1008ms
32, 528ms, 3360, 21328, 6.347619, 13445B, 377ms, 0ms, 907ms
33, 528ms, 3454, 20943, 6.063405, 13445B, 377ms, 90ms, 996ms
34, 528ms, 3202, 21213, 6.624922, 13449B, 377ms, 25ms, 931ms
35, 529ms, 3180, 21878, 6.879874, 13445B, 377ms, 25ms, 931ms
36, 528ms, 2856, 22570, 7.902661, 13435B, 377ms, 25ms, 931ms
37, 528ms, 3202, 21700, 6.777014, 13451B, 377ms, 90ms, 996ms
38, 529ms, 3168, 22271, 7.029987, 13449B, 377ms, 90ms, 997ms
39, 528ms, 3252, 22306, 6.859164, 13451B, 377ms, 25ms, 931ms
40, 699ms, 3166, 22307, 7.045799, 13436B, 377ms, 90ms, 1167ms
41, 696ms, 2960, 22621, 7.642230, 13454B, 377ms, 25ms, 1099ms
42, 699ms, 3010, 22353, 7.426246, 13449B, 377ms, 25ms, 1102ms
43, 699ms, 3184, 21876, 6.870603, 13442B, 377ms, 90ms, 1167ms
44, 699ms, 2770, 23267, 8.399639, 13440B, 377ms, 90ms, 1167ms
45, 699ms, 2944, 23020, 7.819293, 13452B, 377ms, 90ms, 1167ms
46, 699ms, 3072, 21997, 7.160482, 13447B, 377ms, 90ms, 1167ms
47, 700ms, 2766, 23217, 8.393709, 13440B, 377ms, 90ms, 1167ms
48, 612ms, 3030, 22561, 7.445875, 13448B, 378ms, 0ms, 990ms
49, 589ms, 3536, 20483, 5.792704, 13449B, 377ms, 90ms, 1058ms
50, 588ms, 3126, 21997, 7.036788, 13450B, 377ms, 90ms, 1056ms
51, 589ms, 3202, 21599, 6.745472, 13442B, 377ms, 90ms, 1057ms
52, 589ms, 3290, 21495, 6.533435, 13447B, 377ms, 0ms, 967ms
53, 588ms, 3150, 21765, 6.909524, 13444B, 377ms, 90ms, 1056ms
54, 589ms, 3004, 21863, 7.277963, 13450B, 377ms, 90ms, 1057ms
55, 589ms, 2822, 22985, 8.144933, 13443B, 377ms, 90ms, 1058ms
56, 795ms, 3272, 21781, 6.656785, 13449B, 377ms, 0ms, 1173ms
57, 795ms, 3288, 21540, 6.551095, 13442B, 377ms, 25ms, 1198ms
58, 795ms, 2964, 22464, 7.578947, 13444B, 377ms, 25ms, 1198ms
59, 795ms, 2814, 23526, 8.360341, 13445B, 377ms, 90ms, 1263ms
60, 795ms, 2830, 23765, 8.397527, 13444B, 377ms, 0ms, 1173ms
61, 795ms, 3328, 22046, 6.624399, 13451B, 377ms, 0ms, 1173ms
62, 795ms, 3204, 21594, 6.739700, 13451B, 377ms, 0ms, 1173ms
63, 795ms, 3654, 21071, 5.766557, 13473B, 377ms, 0ms, 1173ms
