rank, build, set, map, avg_entry, file, check, merge, total
0, 566ms, 575, 4184, 7.276522, 2489B, 386ms, 41ms, 994ms
1, 546ms, 610, 4195, 6.877049, 2487B, 385ms, 0ms, 932ms
2, 559ms, 630, 4111, 6.525397, 2492B, 385ms, 0ms, 945ms
3, 546ms, 686, 4051, 5.905248, 2486B, 385ms, 0ms, 932ms
4, 598ms, 626, 4219, 6.739617, 2494B, 385ms, 0ms, 984ms
5, 598ms, 564, 4280, 7.588652, 2491B, 385ms, 11ms, 995ms
6, 598ms, 480, 4468, 9.308333, 2482B, 385ms, 20ms, 1005ms
7, 598ms, 650, 4256, 6.547692, 2494B, 385ms, 11ms, 995ms
8, 597ms, 536, 4470, 8.339552, 2485B, 385ms, 0ms, 983ms
9, 597ms, 648, 4240, 6.543210, 2492B, 385ms, 36ms, 1020ms
10, 606ms, 560, 4494, 8.025000, 2498B, 385ms, 32ms, 1025ms
11, 604ms, 674, 4024, 5.970326, 2483B, 385ms, 25ms, 1015ms
12, 556ms, 662, 4246, 6.413897, 2494B, 385ms, 0ms, 942ms
13, 603ms, 696, 4099, 5.889368, 2490B, 385ms, 23ms, 1012ms
14, 556ms, 570, 4396, 7.712281, 2485B, 385ms, 26ms, 969ms
15, 606ms, 594, 4392, 7.393939, 2496B, 385ms, 28ms, 1021ms
16, 463ms, 716, 4021, 5.615922, 2484B, 386ms, 0ms, 849ms
17, 463ms, 672, 4108, 6.113095, 2497B, 386ms, 19ms, 868ms
18, 463ms, 664, 4228, 6.367470, 2486B, 386ms, 19ms, 868ms
19, 463ms, 632, 4219, 6.675633, 2490B, 386ms, 19ms, 868ms
20, 605ms, 616, 4261, 6.917208, 2489B, 385ms, 0ms, 991ms
21, 605ms, 610, 4226, 6.927869, 2496B, 385ms, 19ms, 1010ms
22, 605ms, 548, 4419, 8.063869, 2487B, 385ms, 11ms, 1002ms
23, 605ms, 608, 4285, 7.047697, 2491B, 385ms, 11ms, 1002ms
24, 372ms, 594, 4335, 7.297980, 2486B, 385ms, 0ms, 758ms
25, 372ms, 676, 4120, 6.094675, 2495B, 385ms, 38ms, 797ms
26, 373ms, 670, 4075, 6.082090, 2481B, 385ms, 31ms, 789ms
27, 373ms, 600, 4234, 7.056667, 2492B, 385ms, 34ms, 793ms
28, 619ms, 622, 4190, 6.736334, 2495B, 385ms, 0ms, 1005ms
29, 619ms, 646, 4145, 6.416409, 2491B, 385ms, 0ms, 1005ms
30, 619ms, 634, 4407, 6.951104, 2490B, 385ms, 0ms, 1005ms
31, 619ms, 720, 4060, 5.638889, 2518B, 386ms, 0ms, 1005ms
