rank, build, set, map, avg_entry, file, check, merge, total
0, 737ms, 1994, 16064, 8.056169, 13445B, 374ms, 104ms, 1216ms
1, 742ms, 3128, 22288, 7.125320, 13447B, 372ms, 0ms, 1114ms
2, 740ms, 3132, 21950, 7.008301, 13446B, 370ms, 0ms, 1111ms
3, 742ms, 3098, 21869, 7.059070, 13445B, 372ms, 0ms, 1114ms
4, 763ms, 3238, 21971, 6.785361, 13447B, 372ms, 0ms, 1135ms
5, 742ms, 3318, 20967, 6.319168, 13440B, 371ms, 0ms, 1114ms
6, 739ms, 3194, 21981, 6.881966, 13447B, 371ms, 0ms, 1112ms
7, 739ms, 3272, 21034, 6.428484, 13450B, 372ms, 0ms, 1112ms
8, 723ms, 3286, 21314, 6.486306, 13444B, 371ms, 0ms, 1095ms
9, 716ms, 3060, 22120, 7.228758, 13447B, 371ms, 29ms, 1117ms
10, 723ms, 3000, 22214, 7.404667, 13446B, 371ms, 84ms, 1180ms
11, 716ms, 2878, 22249, 7.730716, 13447B, 371ms, 45ms, 1133ms
12, 723ms, 2460, 23626, 9.604065, 13442B, 371ms, 0ms, 1096ms
13, 716ms, 3038, 21827, 7.184661, 13450B, 371ms, 23ms, 1112ms
14, 723ms, 3244, 21865, 6.740136, 13443B, 371ms, 68ms, 1164ms
15, 716ms, 2830, 23115, 8.167845, 13449B, 371ms, 23ms, 1112ms
16, 720ms, 2688, 23484, 8.736607, 13444B, 372ms, 0ms, 1093ms
17, 563ms, 3456, 20940, 6.059028, 13449B, 371ms, 53ms, 988ms
18, 615ms, 3130, 22337, 7.136422, 13442B, 371ms, 25ms, 1012ms
19, 615ms, 2982, 23135, 7.758216, 13441B, 371ms, 41ms, 1027ms
20, 562ms, 3004, 22640, 7.536618, 13452B, 372ms, 72ms, 1007ms
21, 616ms, 3276, 21382, 6.526862, 13448B, 370ms, 100ms, 1087ms
22, 614ms, 3148, 22095, 7.018742, 13442B, 372ms, 63ms, 1050ms
23, 614ms, 3308, 21782, 6.584643, 13447B, 372ms, 55ms, 1042ms
24, 674ms, 3286, 21089, 6.417833, 13445B, 372ms, 94ms, 1141ms
25, 674ms, 3274, 21216, 6.480147, 13447B, 372ms, 70ms, 1117ms
26, 674ms, 3220, 21723, 6.746273, 13449B, 371ms, 61ms, 1107ms
27, 674ms, 3092, 22444, 7.258732, 13447B, 371ms, 27ms, 1074ms
28, 674ms, 2540, 24058, 9.471654, 13439B, 371ms, 82ms, 1129ms
29, 675ms, 2672, 23375, 8.748129, 13447B, 371ms, 47ms, 1094ms
30, 673ms, 3754, 19854, 5.288759, 13448B, 372ms, 65ms, 1111ms
31, 674ms, 3634, 20862, 5.740782, 13447B, 372ms, 74ms, 1121ms
32, 446ms, 3360, 21328, 6.347619, 13445B, 372ms, 0ms, 819ms
33, 446ms, 3454, 20943, 6.063405, 13445B, 372ms, 23ms, 842ms
34, 446ms, 3202, 21213, 6.624922, 13449B, 372ms, 39ms, 858ms
35, 446ms, 3180, 21878, 6.879874, 13445B, 372ms, 51ms, 870ms
36, 446ms, 2856, 22570, 7.902661, 13435B, 372ms, 15ms, 834ms
37, 446ms, 3202, 21700, 6.777014, 13451B, 372ms, 13ms, 832ms
38, 446ms, 3168, 22271, 7.029987, 13449B, 372ms, 23ms, 842ms
39, 446ms, 3252, 22306, 6.859164, 13451B, 372ms, 33ms, 852ms
40, 774ms, 3166, 22307, 7.045799, 13436B, 372ms, 78ms, 1225ms
41, 774ms, 2960, 22621, 7.642230, 13454B, 372ms, 57ms, 1204ms
42, 774ms, 3010, 22353, 7.426246, 13449B, 372ms, 49ms, 1196ms
43, 774ms, 3184, 21876, 6.870603, 13442B, 372ms, 67ms, 1213ms
44, 774ms, 2770, 23267, 8.399639, 13440B, 372ms, 59ms, 1206ms
45, 774ms, 2944, 23020, 7.819293, 13452B, 372ms, 43ms, 1190ms
46, 774ms, 3072, 21997, 7.160482, 13447B, 372ms, 86ms, 1233ms
47, 774ms, 2766, 23217, 8.393709, 13440B, 372ms, 80ms, 1227ms
48, 523ms, 3030, 22561, 7.445875, 13448B, 371ms, 0ms, 895ms
49, 742ms, 3536, 20483, 5.792704, 13449B, 371ms, 92ms, 1206ms
50, 742ms, 3126, 21997, 7.036788, 13450B, 371ms, 96ms, 1210ms
51, 525ms, 3202, 21599, 6.745472, 13442B, 371ms, 90ms, 987ms
52, 741ms, 3290, 21495, 6.533435, 13447B, 371ms, 0ms, 1113ms
53, 740ms, 3150, 21765, 6.909524, 13444B, 370ms, 98ms, 1210ms
54, 742ms, 3004, 21863, 7.277963, 13450B, 371ms, 76ms, 1191ms
55, 743ms, 2822, 22985, 8.144933, 13443B, 371ms, 88ms, 1202ms
56, 770ms, 3272, 21781, 6.656785, 13449B, 372ms, 0ms, 1142ms
57, 770ms, 3288, 21540, 6.551095, 13442B, 372ms, 35ms, 1177ms
58, 769ms, 2964, 22464, 7.578947, 13444B, 372ms, 37ms, 1179ms
59, 770ms, 2814, 23526, 8.360341, 13445B, 372ms, 31ms, 1173ms
60, 770ms, 2830, 23765, 8.397527, 13444B, 372ms, 0ms, 1142ms
61, 770ms, 3328, 22046, 6.624399, 13451B, 372ms, 0ms, 1142ms
62, 770ms, 3204, 21594, 6.739700, 13451B, 372ms, 0ms, 1142ms
63, 770ms, 3654, 21071, 5.766557, 13473B, 372ms, 0ms, 1142ms
