rank, build, set, map, avg_entry, file, check, merge, total
0, 840ms, 575, 4184, 7.276522, 2489B, 409ms, 68ms, 1318ms
1, 839ms, 610, 4195, 6.877049, 2487B, 409ms, 0ms, 1249ms
2, 840ms, 630, 4111, 6.525397, 2492B, 409ms, 0ms, 1249ms
3, 839ms, 686, 4051, 5.905248, 2486B, 409ms, 0ms, 1249ms
4, 816ms, 626, 4219, 6.739617, 2494B, 409ms, 0ms, 1226ms
5, 810ms, 564, 4280, 7.588652, 2491B, 409ms, 44ms, 1264ms
6, 816ms, 480, 4468, 9.308333, 2482B, 409ms, 46ms, 1273ms
7, 810ms, 650, 4256, 6.547692, 2494B, 409ms, 43ms, 1263ms
8, 879ms, 536, 4470, 8.339552, 2485B, 409ms, 0ms, 1289ms
9, 879ms, 648, 4240, 6.543210, 2492B, 409ms, 30ms, 1320ms
10, 872ms, 560, 4494, 8.025000, 2498B, 409ms, 27ms, 1308ms
11, 872ms, 674, 4024, 5.970326, 2483B, 409ms, 25ms, 1307ms
12, 848ms, 662, 4246, 6.413897, 2494B, 409ms, 0ms, 1259ms
13, 867ms, 696, 4099, 5.889368, 2490B, 409ms, 25ms, 1301ms
14, 848ms, 570, 4396, 7.712281, 2485B, 409ms, 25ms, 1283ms
15, 848ms, 594, 4392, 7.393939, 2496B, 409ms, 25ms, 1283ms
16, 705ms, 716, 4021, 5.615922, 2484B, 409ms, 0ms, 1116ms
17, 705ms, 672, 4108, 6.113095, 2497B, 409ms, 36ms, 1152ms
18, 705ms, 664, 4228, 6.367470, 2486B, 409ms, 15ms, 1130ms
19, 705ms, 632, 4219, 6.675633, 2490B, 409ms, 13ms, 1128ms
20, 831ms, 616, 4261, 6.917208, 2489B, 409ms, 0ms, 1241ms
21, 831ms, 610, 4226, 6.927869, 2496B, 409ms, 33ms, 1274ms
22, 831ms, 548, 4419, 8.063869, 2487B, 409ms, 34ms, 1276ms
23, 831ms, 608, 4285, 7.047697, 2491B, 409ms, 17ms, 1258ms
24, 318ms, 594, 4335, 7.297980, 2486B, 409ms, 0ms, 729ms
25, 458ms, 676, 4120, 6.094675, 2495B, 409ms, 40ms, 908ms
26, 458ms, 670, 4075, 6.082090, 2481B, 409ms, 38ms, 906ms
27, 319ms, 600, 4234, 7.056667, 2492B, 409ms, 29ms, 758ms
28, 868ms, 622, 4190, 6.736334, 2495B, 409ms, 0ms, 1278ms
29, 868ms, 646, 4145, 6.416409, 2491B, 409ms, 0ms, 1277ms
30, 868ms, 634, 4407, 6.951104, 2490B, 409ms, 0ms, 1278ms
31, 868ms, 720, 4060, 5.638889, 2518B, 410ms, 0ms, 1278ms
