rank, build, set, map, avg_entry, file, check, merge, total
0, 712ms, 1185, 8329, 7.028692, 4976B, 144ms, 19ms, 876ms
1, 712ms, 1318, 8050, 6.107739, 4985B, 144ms, 0ms, 857ms
2, 1026ms, 1188, 8436, 7.101010, 4978B, 144ms, 0ms, 1171ms
3, 1027ms, 1132, 8711, 7.695230, 4984B, 143ms, 0ms, 1171ms
4, 987ms, 1184, 8681, 7.331926, 4979B, 143ms, 0ms, 1131ms
5, 987ms, 1234, 8502, 6.889789, 4979B, 143ms, 10ms, 1142ms
6, 1001ms, 1356, 8286, 6.110619, 4976B, 143ms, 15ms, 1161ms
7, 997ms, 1166, 8773, 7.524014, 4989B, 143ms, 15ms, 1156ms
8, 869ms, 1388, 8043, 5.794669, 4980B, 143ms, 0ms, 1013ms
9, 868ms, 1296, 8422, 6.498457, 4980B, 143ms, 4ms, 1017ms
10, 953ms, 1226, 8384, 6.838499, 4983B, 143ms, 14ms, 1112ms
11, 953ms, 1156, 8692, 7.519031, 4976B, 143ms, 11ms, 1109ms
12, 348ms, 1270, 8445, 6.649606, 4983B, 143ms, 0ms, 492ms
13, 348ms, 1272, 8232, 6.471698, 4985B, 143ms, 0ms, 492ms
14, 991ms, 1266, 8256, 6.521327, 4974B, 143ms, 0ms, 1136ms
15, 992ms, 1352, 8435, 6.238905, 4999B, 144ms, 0ms, 1136ms
