rank, build, set, map, avg_entry, file, check, merge, total
0, 610ms, 11330, 80560, 7.110327, 53783B, 204ms, 31ms, 846ms
1, 607ms, 13022, 83296, 6.396560, 53784B, 206ms, 0ms, 814ms
2, 704ms, 12224, 86292, 7.059228, 53784B, 192ms, 0ms, 897ms
3, 697ms, 11572, 89625, 7.744988, 53784B, 198ms, 0ms, 896ms
4, 622ms, 12258, 89106, 7.269212, 53788B, 188ms, 0ms, 811ms
5, 625ms, 12736, 86105, 6.760757, 53783B, 183ms, 12ms, 821ms
6, 600ms, 12870, 85003, 6.604740, 53782B, 199ms, 21ms, 821ms
7, 608ms, 12602, 87130, 6.913982, 53790B, 192ms, 23ms, 823ms
8, 402ms, 13196, 83682, 6.341467, 53787B, 204ms, 0ms, 607ms
9, 408ms, 12478, 87447, 7.008094, 53781B, 198ms, 21ms, 628ms
10, 565ms, 12322, 87768, 7.122870, 53788B, 186ms, 21ms, 773ms
11, 566ms, 11552, 90723, 7.853445, 53786B, 186ms, 21ms, 774ms
12, 701ms, 12892, 85012, 6.594167, 53778B, 195ms, 0ms, 897ms
13, 713ms, 12268, 86055, 7.014591, 53787B, 182ms, 25ms, 921ms
14, 659ms, 12336, 87474, 7.090953, 53780B, 201ms, 0ms, 861ms
15, 660ms, 13014, 87204, 6.700784, 53806B, 201ms, 0ms, 861ms
