rank, build, set, map, avg_entry, file, check, merge, total
0, 1064ms, 17648, 175406, 9.939143, 109382B, 329ms, 104ms, 1498ms
1, 1061ms, 20934, 190845, 9.116509, 109386B, 331ms, 0ms, 1393ms
2, 1096ms, 18852, 197210, 10.460959, 109379B, 297ms, 0ms, 1393ms
3, 1061ms, 19732, 195270, 9.896108, 109383B, 331ms, 0ms, 1393ms
4, 1072ms, 20638, 193619, 9.381675, 109385B, 321ms, 0ms, 1393ms
5, 1076ms, 20274, 188744, 9.309658, 109384B, 317ms, 0ms, 1393ms
6, 1074ms, 21112, 189764, 8.988443, 109388B, 319ms, 0ms, 1393ms
7, 1071ms, 20444, 188164, 9.203874, 109375B, 321ms, 0ms, 1393ms
8, 1114ms, 18804, 194471, 10.342002, 109374B, 320ms, 0ms, 1435ms
9, 1111ms, 19776, 193776, 9.798544, 109402B, 323ms, 21ms, 1456ms
10, 1112ms, 17826, 198515, 11.136262, 109385B, 320ms, 76ms, 1510ms
11, 1111ms, 20292, 190366, 9.381333, 109379B, 323ms, 43ms, 1478ms
12, 1108ms, 20090, 190229, 9.468840, 109389B, 324ms, 0ms, 1433ms
13, 1116ms, 17818, 199456, 11.194073, 109384B, 318ms, 55ms, 1490ms
14, 1110ms, 19966, 192882, 9.660523, 109377B, 322ms, 39ms, 1472ms
15, 1120ms, 14892, 205094, 13.772092, 109370B, 314ms, 74ms, 1509ms
16, 918ms, 13026, 207231, 15.909028, 109406B, 304ms, 0ms, 1222ms
17, 1050ms, 20482, 191937, 9.371009, 109382B, 312ms, 92ms, 1455ms
18, 1057ms, 21480, 191465, 8.913641, 109379B, 305ms, 68ms, 1431ms
19, 786ms, 18130, 201237, 11.099669, 109383B, 293ms, 53ms, 1132ms
20, 764ms, 21582, 189735, 8.791354, 109386B, 314ms, 78ms, 1157ms
21, 918ms, 20544, 189672, 9.232477, 109381B, 305ms, 64ms, 1289ms
22, 1057ms, 21716, 187555, 8.636719, 109389B, 294ms, 37ms, 1389ms
23, 1056ms, 21144, 188401, 8.910376, 109383B, 295ms, 99ms, 1452ms
24, 1148ms, 20836, 189386, 9.089365, 109387B, 312ms, 86ms, 1547ms
25, 1169ms, 19974, 193046, 9.664864, 109382B, 314ms, 90ms, 1574ms
26, 1153ms, 15288, 205767, 13.459380, 109379B, 307ms, 33ms, 1494ms
27, 1146ms, 19318, 194848, 10.086344, 109393B, 314ms, 66ms, 1528ms
28, 1149ms, 18432, 197547, 10.717611, 109374B, 312ms, 88ms, 1549ms
29, 1145ms, 24040, 182086, 7.574293, 109390B, 316ms, 47ms, 1508ms
30, 1147ms, 22304, 188629, 8.457183, 109385B, 314ms, 58ms, 1520ms
31, 1148ms, 21014, 192309, 9.151470, 109384B, 313ms, 31ms, 1493ms
32, 1145ms, 21302, 190756, 8.954840, 109379B, 321ms, 0ms, 1467ms
33, 1144ms, 21496, 187216, 8.709341, 109388B, 322ms, 21ms, 1489ms
34, 1152ms, 14698, 205287, 13.967002, 109380B, 315ms, 45ms, 1512ms
35, 1144ms, 19830, 193136, 9.739586, 109373B, 323ms, 23ms, 1490ms
36, 1144ms, 20500, 192243, 9.377707, 109397B, 322ms, 29ms, 1496ms
37, 1144ms, 19674, 196311, 9.978195, 109380B, 322ms, 60ms, 1528ms
38, 1147ms, 16712, 203792, 12.194351, 109387B, 319ms, 13ms, 1481ms
39, 1145ms, 18542, 200247, 10.799644, 109377B, 321ms, 21ms, 1489ms
40, 1100ms, 20294, 195796, 9.647975, 109397B, 310ms, 70ms, 1481ms
41, 1099ms, 20002, 195060, 9.752025, 109371B, 311ms, 82ms, 1493ms
42, 1098ms, 19402, 195029, 10.052005, 109378B, 311ms, 57ms, 1467ms
43, 1103ms, 16656, 201810, 12.116354, 109402B, 306ms, 49ms, 1459ms
44, 1101ms, 17976, 198146, 11.022808, 109385B, 308ms, 41ms, 1452ms
45, 1099ms, 18642, 198715, 10.659532, 109375B, 310ms, 80ms, 1491ms
46, 1101ms, 17362, 202093, 11.639961, 109386B, 308ms, 94ms, 1504ms
47, 1101ms, 17366, 201519, 11.604227, 109378B, 308ms, 36ms, 1446ms
48, 544ms, 17112, 201873, 11.797160, 109395B, 306ms, 0ms, 851ms
49, 859ms, 20770, 189528, 9.125084, 109385B, 298ms, 72ms, 1230ms
50, 857ms, 21160, 190634, 9.009168, 109386B, 301ms, 51ms, 1210ms
51, 544ms, 22150, 186259, 8.408984, 109375B, 305ms, 98ms, 948ms
52, 856ms, 20238, 192517, 9.512649, 109383B, 301ms, 0ms, 1157ms
53, 853ms, 22740, 183922, 8.088039, 109393B, 304ms, 62ms, 1220ms
54, 903ms, 20616, 191488, 9.288320, 109383B, 306ms, 96ms, 1306ms
55, 857ms, 19006, 197225, 10.376986, 109385B, 301ms, 84ms, 1242ms
56, 933ms, 20134, 194442, 9.657395, 109384B, 308ms, 0ms, 1242ms
57, 939ms, 16542, 199937, 12.086628, 109373B, 303ms, 27ms, 1270ms
58, 934ms, 20432, 192718, 9.432165, 109387B, 308ms, 21ms, 1264ms
59, 939ms, 14830, 204285, 13.775118, 109382B, 303ms, 25ms, 1268ms
60, 938ms, 19396, 197036, 10.158589, 109388B, 304ms, 0ms, 1242ms
61, 934ms, 20974, 193897, 9.244636, 109378B, 308ms, 0ms, 1242ms
62, 933ms, 22242, 186618, 8.390343, 109396B, 309ms, 0ms, 1242ms
63, 933ms, 23358, 187389, 8.022476, 109444B, 309ms, 0ms, 1242ms
